QueryID AssessorID DocID Grade
"deval patrick election" Jaissica https://www.bostonherald.com/2012/11/20/patricks-power-grab 1
"deval patrick election" Jaissica https://www.bostonherald.com/2010/07/23/gov-deval-patrick-hopeful-after-iraq-visit 1
"deval patrick election" Jaissica https://www.bostonherald.com/2010/10/06/speaker-rejects-tiseis-tax-talk-tisei-calls-patrick-a-taxoholic 2
"deval patrick election" Jaissica https://www.bostonherald.com/2010/05/24/deval-patrick-takes-gloves-off-in-race 1
"deval patrick election" Jaissica https://www.bostonherald.com/2010/07/08/gov-deval-patrick-eyes-liquor-chief-picks 1
"deval patrick election" Jaissica https://www.bostonherald.com/2010/02/16/deval-patrick-seeks-toll-czar-for-pike-upgrade 0
"deval patrick election" Jaissica https://www.boston.com/news/local-news/2018/11/01/charlie-baker-jay-gonzalez-massachusetts-governor-debate 0
"deval patrick election" Jaissica https://www.bostonherald.com/2010/10/27/baker-suggests-patrick-will-raise-income-tax 1
"deval patrick election" Jaissica https://www.bostonherald.com/2016/04/30/carr-devals-antiques-sideshow 0
"deval patrick election" Jaissica https://www.bostonherald.com/2015/01/08/lawmakers-stiffed-by-departing-deval-patrick 2
"deval patrick election" Jaissica https://www.bostonherald.com/2019/11/12/howie-carr-is-deval-patrick-joking-hes-running-for-president 2
"deval patrick election" Jaissica http://bostonherald.com/news_opinion/local_politics/2013/06/manhunt_over_deval_patrick_tied_one_on 1
"deval patrick election" Jaissica https://www.bostonherald.com/2013/06/06/manhunt-over-deval-patrick-tied-one-on 1
"deval patrick election" Jaissica https://www.bostonherald.com/2018/05/20/deval-patrick-urges-grads-to-lead-with-vision-heart 2
"deval patrick election" Jaissica https://www.bostonherald.com/2014/09/26/deval-patrick-says-to-relax-he-has-no-interest-in-ag-gig 0
"deval patrick election" Jaissica https://www.bostonherald.com/2013/11/19/walsh-touts-great-relationship-with-patrick 2
"deval patrick election" Jaissica https://www.bostonherald.com/2019/11/14/deval-patrick-shakes-up-2020-presidential-campaign-a-bit 1
"deval patrick election" Jaissica https://www.bostonherald.com/2013/06/08/devals-road-show 2
"deval patrick election" Jaissica https://www.bostonherald.com/2019/11/14/deval-patrick-2020-entrance-could-hurt-liz-warren 0
"deval patrick election" Jaissica https://www.bostonherald.com/2013/01/17/governors-tax-plan-gets-mixed-reviews 2
"deval patrick election" Jaissica https://www.bostonherald.com/2016/11/21/report-deval-patricks-farewell-cost-300g 1
"deval patrick election" Jaissica https://www.bostonherald.com/2018/05/04/deval-patrick-endorses-michael-capuano 0
"deval patrick election" Jaissica https://www.bostonherald.com/2017/08/02/carr-obama-circle-urges-deval-patrick-for-oval-office 2
"deval patrick election" Jaissica https://www.bostonherald.com/2014/12/01/deval-patrick-denies-responsibility-for-dem-loss 0
"deval patrick election" Jaissica https://www.bostonherald.com/2018/08/30/former-deval-patrick-aides-pac-possible-prelude-to-presidential-run 2
