query,doc,es,otf,bm,tfidf,lml,lmjm,label
85,AP890126-0244,7.5308275,1.4085590181017802,7.5316358537760095,2.718203917564063,-81.70700132005241,-33.03836285563221,1
85,AP890207-0203,0,0,0,0,-500,-500,0
85,AP890719-0138,10.650718,1.504144832314339,10.651622304645759,3.6324616673719823,-81.01764428295627,-31.69512302162526,0
85,AP891116-0028,11.01385,1.6827077804382198,11.014833800638858,3.8540187655672704,-80.72869905735502,-32.024754675912064,0
85,AP890515-0059,10.478603,1.8277037344738312,10.479585308472622,3.9897721868125693,-79.52851502887341,-31.82547540808799,1
85,AP890316-0177,11.459503,2.5421296323683897,11.460902733919328,4.286715082478848,-78.73374190235049,-32.17139630768475,0
85,AP890602-0051,10.472557,1.8602646178170257,10.473590136226198,3.8093005913565436,-78.82547004008558,-31.656238051755295,0
85,AP890621-0008,11.054756,1.4172575937200047,11.055573635031363,3.768461370671022,-80.04438916591337,-31.240466824215893,1
85,AP890429-0040,9.506426,1.6911131371538826,9.507352347500799,3.5028103084141353,-80.32449710239632,-32.24227811849738,0
85,AP890505-0157,10.344213,1.3706496605645113,10.34500376139497,3.7552299993124425,-81.70763315315864,-31.298599769290465,0
85,AP891007-0042,12.8771515,2.12507914914922,12.878325904299167,4.7973399020704885,-80.43659415301552,-31.09013505182083,0
85,AP890829-0038,10.67791,1.9407704409618598,10.678996975959828,3.8255776154527332,-80.03492021473384,-31.920868560141507,1
85,AP890414-0126,4.718519,1.3368834423093379,4.719217045772166,1.8914394916347155,-81.70510547847901,-33.23189773326646,1
85,AP890126-0027,11.478175,1.8846170148519816,11.479295018644457,3.9460984625506947,-79.81493440388437,-32.14734486309939,1
85,AP891004-0166,13.9700575,1.501814932426443,13.970963033238743,4.864080069062449,-81.4205828567878,-30.211570681064202,0
85,AP890516-0074,11.034051,1.5894185395293499,11.034927801659915,4.041882228018437,-81.59879684945247,-30.696994091442452,1
85,AP890528-0023,5.948897,1.0081443957705756,5.9495097670793,1.958454919612511,-81.83236259157724,-33.32779213707177,0
85,AP890517-0280,10.866785,1.7126724537975708,10.867776507343418,3.8940980666177856,-80.90912545694088,-31.728557688040308,0
85,AP891016-0095,10.587028,1.8515756225236306,10.588078312107434,3.7377718338506103,-80.21787343358902,-31.558132168767592,0
85,AP891213-0213,14.216776,1.6685364386809778,14.217758498215465,4.973735891877444,-81.01511774867963,-30.12520591583872,1
85,AP891204-0169,11.516035,1.6380698328080698,11.51694319036628,4.264885873009687,-81.0144859725987,-31.372922657981043,0
85,AP890527-0023,5.1909842,0.891706577204366,5.191497143635603,1.7851798711701674,-82.52045852658307,-33.115189034559,1
85,AP891226-0070,10.70387,1.369138025266917,10.704656619543334,3.852077746234094,-81.42184623791495,-31.303728205286536,0
85,AP891203-0057,13.487984,2.4552538765137193,13.489290150369737,5.237464546224898,-79.75793114972615,-30.49357144597406,0
85,AP890608-0171,4.95969,0.8680713296924518,4.960230967354748,1.596778627067345,-81.8374101947479,-33.51106995871834,0
85,AP890311-0134,22.291433,3.156528305460988,22.293183945348005,8.328249947210619,-78.01748997579668,-27.707501607986423,0
85,AP890822-0077,5.1105156,1.2734388004905675,5.111250703035629,1.7851139997039074,-81.60416779470891,-33.86492740427127,0
85,AP890304-0129,11.405149,2.518447200223614,11.406486830108467,4.475300829326085,-78.55838197585834,-31.911737882694574,0
85,AP891202-0057,19.75269,2.807826531174519,19.75427242350713,7.156440513803762,-76.23520287463975,-29.166343492281136,1
85,AP890714-0093,11.336081,1.6845527379311172,11.337008983130437,4.236528275258445,-80.22039951199253,-31.081185276270908,1
85,AP890328-0041,10.789975,1.9053511490860908,10.790972161683536,4.2580512290351,-80.49986849445554,-30.46200436432045,0
85,AP890619-0170,12.602996,1.8403674212167247,12.604041213645225,4.5691477329873385,-80.32260228718562,-31.607058504392565,0
85,AP890129-0061,12.53874,2.0207293930687453,12.539919652720572,4.359339981570569,-79.63134992183637,-31.281963710730437,0
85,AP890306-0140,0,0,0,0,-500,-500,0
85,AP890816-0035,3.3707123,0.8342682193404889,3.3712035960432414,1.196014544783265,-82.8068772179077,-34.0199011319393,0
85,AP891006-0013,12.069066,1.9693539502981328,12.070184807062088,4.328781016153885,-81.41552705085542,-30.686036424673947,0
85,AP891130-0019,6.263545,1.376471377875915,6.264329532842019,2.2595018091669608,-80.91480938999331,-33.41112086177697,1
85,AP890111-0042,13.644245,2.308044608987,13.645564855078886,4.960114392300352,-78.20802165860087,-31.415579549573184,1
85,AP891103-0207,15.701721,2.6804870257797337,15.703186791084317,5.8480730640540255,-79.05029979189561,-30.38235443819304,0
85,AP891017-0098,16.023697,2.551912486496565,16.025046225242228,6.234878278885515,-78.15418024887734,-30.220455975206228,1
85,AP890111-0146,4.5006676,0.95020350710851,4.501257706090701,1.4783341437068014,-82.11878219431925,-33.93476038495825,0
85,AP891013-0020,18.38508,2.502804658021467,18.38655428697954,6.449827894870454,-79.22335827945159,-29.434011817708324,0
85,AP890311-0061,12.72003,2.017524485064518,12.721228345526674,4.432035730683703,-80.72554017689887,-31.722988900211636,0
85,AP890926-0194,12.336331,1.9967891470680046,12.337443290348801,4.528471397697365,-78.78910239591468,-31.059641667559184,1
85,AP891213-0155,15.65782,2.001819418765388,15.658995950576807,5.632168399444432,-79.74913295749275,-30.430590433100598,0
85,AP891107-0005,16.589323,2.319496620109844,16.590644831650383,5.868393712413764,-79.74534281402897,-29.479186753159265,0
